;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod
273;20230321_n491_nbg_4;playback;Basking;nbg;alone;10909;20,261;20,261;1;1;3
274;20230321_n491_nbg_4;playback;Exploration;nbg;alone;10909;12,477;-0,112;-0,008896656;0;2
275;20230321_n491_nbg_4;playback;Nest;nbg;alone;10909;0;-47,411;-1;0;1
276;20230321_n491_nbg_4;playback;Vigilance;nbg;alone;10909;14,008;14,008;1;1;3
277;20230321_n491_fam_1;after;Basking;fam;not_alone;10909;60,31;0,31;0,005166667;1;2
278;20230321_n491_fam_1;after;Exploration;fam;not_alone;10909;NA;NA;NA;NA;NA
279;20230321_n491_fam_1;after;Nest;fam;not_alone;10909;NA;NA;NA;NA;NA
280;20230321_n491_fam_1;after;Vigilance;fam;not_alone;10909;NA;NA;NA;NA;NA
281;20230321_n491_fam_1;before;Basking;fam;not_alone;10909;60;0;0;0;2
282;20230321_n491_fam_1;before;Exploration;fam;not_alone;10909;NA;NA;NA;NA;NA
283;20230321_n491_fam_1;before;Nest;fam;not_alone;10909;NA;NA;NA;NA;NA
284;20230321_n491_fam_1;before;Vigilance;fam;not_alone;10909;NA;NA;NA;NA;NA
285;20230321_n491_fam_1;playback;Basking;fam;not_alone;10909;60;0;0;0;2
286;20230321_n491_fam_1;playback;Exploration;fam;not_alone;10909;NA;NA;NA;NA;NA
287;20230321_n491_fam_1;playback;Nest;fam;not_alone;10909;NA;NA;NA;NA;NA
288;20230321_n491_fam_1;playback;Vigilance;fam;not_alone;10909;NA;NA;NA;NA;NA
289;20230309_n491_str_5;after;Basking;str;not_alone;10909;31,048;16,246;1;1;3
290;20230309_n491_str_5;after;Exploration;str;not_alone;10909;0;-11,659;-1;0;1
291;20230309_n491_str_5;after;Nest;str;not_alone;10909;NA;NA;NA;NA;NA
292;20230309_n491_str_5;after;Vigilance;str;not_alone;10909;26,764;-2,517;-0,085960179;0;2
293;20230309_n491_str_5;before;Basking;str;not_alone;10909;14,802;0;0;0;2
294;20230309_n491_str_5;before;Exploration;str;not_alone;10909;11,659;0;0;0;2
